threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.1,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.1,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.15,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.1,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.15,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.7,0.2,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.85,2,5,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.85,2,10,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.85,3,5,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.85,3,10,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.9,2,5,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.9,2,10,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.9,3,5,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.9,3,10,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.95,2,5,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.95,2,10,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.95,3,5,0.0,0.0,0.0,0.0,0.0,0
0.75,0.1,0.95,3,10,0.0,0.0,0.0,0.0,0.0,0
